LSOA21CD,LSOA21NM,demand_occurrence,scheduled_stop_visits,positive_demand_visits,unique_stops,unique_trips,poor_general_health_rate,activity_limiting_disability_rate,health_deprivation_disability_score_2025,poor_general_health_rate_z,activity_limiting_disability_rate_z,health_deprivation_disability_score_2025_z,health_composite_raw,health_vulnerability_z,health_census_raw,health_census_only_z,health_iod_only_z,demand_occurrence_z,health_demand_gap,lower_demand,higher_health,health_demand_group,health_demand_divergence
E01005874,Stockport 019C,0.2845659163987138,622,177,1,622,0.0779082177161153,0.28,1.438,1.1651123930309915,2.4103983088094303,0.9823461688912225,1.5192856235772147,1.7134491951818873,1.7877553509202109,1.8480486794434732,0.9823461688912225,-1.9109614706943425,3.62441066587623,True,True,A. Higher health vulnerability + Lower demand,True
E01005877,Stockport 019E,0.2741157556270096,1244,341,2,622,0.0575373993095512,0.194588370754174,0.4879999999999999,0.011495019954679287,0.36521357381333713,-0.6000165787032209,-0.07443599497840149,-0.08394885972000565,0.1883542968840082,0.1947066803323085,-0.6000165787032209,-1.985126186499668,1.9011773267796626,True,True,A. Higher health vulnerability + Lower demand,True
E01005916,Stockport 007C,0.5870418848167539,1528,897,2,1528,0.0557620817843866,0.197026022304833,0.656,-0.08904277380901082,0.4235832335970009,-0.3201882191286244,0.004784080219788563,0.005395482110191774,0.16727022989399504,0.17291153809534893,-0.3201882191286244,0.23570830078001814,-0.23031281866982636,True,True,A. Higher health vulnerability + Lower demand,True
E01005917,Stockport 007D,0.5525196335078534,6112,3377,8,1528,0.0650628758884636,0.208652792990142,1.232,0.4376693811828363,0.7019867031579812,0.6392232994128485,0.5929597945845554,0.6687396148815643,0.5698280421704087,0.5890459006601978,0.6392232994128485,-0.009295868363218931,0.6780354832447832,True,True,A. Higher health vulnerability + Lower demand,True
E01033653,Manchester 055B,0.36780104712041883,1528,562,2,1528,0.0383576445164776,0.137763371150729,0.8439999999999999,-1.0746713725307437,-0.9954632190462748,-0.0070469596046716584,-0.6923938503938967,-0.7808812689959707,-1.0350672957885092,-1.069975681030672,-0.0070469596046716584,-1.320242346859497,0.5393610778635264,True,False,C. Lower health vulnerability + Lower demand,False
E01033654,Manchester 055C,0.5606159895150721,3052,1711,4,1528,0.010608598548297,0.0978200111794298,0.5919999999999999,-2.646124265403775,-1.9519085040628619,-0.4267894989665661,-1.674940756144401,-1.888996937807927,-2.2990163847333185,-2.3765523574791074,-0.4267894989665661,0.048163911964753225,-1.9371608497726802,True,False,C. Lower health vulnerability + Lower demand,False
E01033661,Manchester 055E,0.762402088772846,766,584,1,766,0.042778057372924,0.148390342052314,0.921,-0.8243395024217229,-0.740999993615747,0.12120770520035194,-0.4813772636123727,-0.5428969195228874,-0.782669748018735,-0.8090658453472772,0.12120770520035194,1.480238406496906,-2.0231353260197933,False,False,D. Lower health vulnerability + Higher demand,False
E01033947,Stockport 014E,0.42370744010088274,793,336,2,793,0.0818181818181818,0.231818181818182,1.606,1.386537100974743,1.2566828262701832,1.262174528465819,1.3017981519035817,1.4681669865449734,1.3216099636224632,1.3661822053865782,1.262174528465819,-0.9234750781372968,2.3916420646822703,True,True,A. Higher health vulnerability + Lower demand,True
E01033948,Stockport 014F,0.3766519823788546,1362,513,2,681,0.115727002967359,0.306379821958457,2.884,3.3068234830684218,3.042064156396426,3.3908688352297114,3.246585491564853,3.6614967003459356,3.174443819732424,3.2815042091773483,3.3908688352297114,-1.2574273230150192,4.918924023360955,True,True,A. Higher health vulnerability + Lower demand,True
E01034119,Manchester 022H,0.5400262467191601,1524,823,2,762,0.05249343832021,0.163540885221305,1.685,-0.274148929654542,-0.3782196569131313,1.393760483265778,0.2471306322327015,0.27871374304648167,-0.3261842932838367,-0.3371850919915385,1.393760483265778,-0.09796134450960575,0.3766750875560874,True,True,A. Higher health vulnerability + Lower demand,True
E01034137,Manchester 063C,0.7069190600522193,1532,1083,2,766,0.0548498845265589,0.136599423631124,0.658,-0.14070130727095143,-1.0233339870020217,-0.3168569291336887,-0.493630741135554,-0.5567163823509759,-0.5820176471364866,-0.6016466087766088,-0.3168569291336887,1.0864757508805611,-1.643192133231537,False,False,D. Lower health vulnerability + Higher demand,False
E01034138,Manchester 064B,0.737597911227154,766,565,1,766,0.0462093862815884,0.122021660649819,1.146,-0.630020326688523,-1.3723990801633625,0.4959778296306146,-0.5021471924070904,-0.5663212297546266,-1.0012097034259428,-1.0349762171372654,0.4959778296306146,1.3042033369272457,-1.8705245666818722,False,False,D. Lower health vulnerability + Higher demand,False
